Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4519742697258202687905827803,0.45197426972582,0.433256622017763,0.45197426972582,0.433256622017763,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,556955.3
0.02,0,0.5448404499402844015666388222,0.544840449940284,0.526122802232227,0.544840449940284,0.526122802232227,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,1113911
0.03,0,0.5655091251390304389739023470,0.56550912513903,0.546791477430973,0.56550912513903,0.546791477430973,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,1670866
0.04,0,0.5709080559773220091700048624,0.570908055977322,0.552190408269265,0.570908055977322,0.552190408269265,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,2227821
0.05,0,0.5713771006976553579414540515,0.571377100697655,0.552659452989598,0.571377100697655,0.552659452989598,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,2784776
0.06,0,0.5699394440082230154201893932,0.569939444008223,0.551221796300166,0.569939444008223,0.551221796300166,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,3341732
0.07,0,0.5677160090707237701646252756,0.567716009070724,0.548998361362666,0.567716009070724,0.548998361362666,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,3898687
0.08,0,0.5651835919237128721015636740,0.565183591923713,0.546465944215656,0.565183591923713,0.546465944215656,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,4455642
0.09,0,0.5625623617570664881479194871,0.562562361757067,0.543844714049009,0.562562361757067,0.543844714049009,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,5012598
0.10,0,0.5599584972125803265422185006,0.55995849721258,0.541240849504523,0.55995849721258,0.541240849504523,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,5569553
0.11,0,0.5574235361969338086938837379,0.557423536196934,0.538705888488876,0.557423536196934,0.538705888488876,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,6126508
0.12,0,0.5549814361225196586724859027,0.55498143612252,0.536263788414462,0.55498143612252,0.536263788414462,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,6683464
0.13,0,0.5526417685746199235675831758,0.55264176857462,0.533924120866563,0.55264176857462,0.533924120866563,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,7240418
0.14,0,0.5504064305098547507178190611,0.550406430509855,0.531688782801797,0.550406430509855,0.531688782801797,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,7797374
0.15,0,0.5482733011897535983717619725,0.548273301189754,0.529555653481696,0.548273301189754,0.529555653481696,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,8354330
0.16,0,0.5462381856136613898917658030,0.546238185613661,0.527520537905604,0.546238185613661,0.527520537905604,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,8911285
0.17,0,0.5442959132098123496948886904,0.544295913209812,0.525578265501755,0.544295913209812,0.525578265501755,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,9468240
0.18,0,0.5424409516982985907883689165,0.542440951698298,0.523723303990241,0.542440951698298,0.523723303990241,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,10025200
0.19,0,0.5414422646772625761884673076,0.541442264677263,0.522724616969205,0.541442264677263,0.522724616969205,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,10582150
0.20,0,0.5413769897923627776727422401,0.541376989792363,0.522659342084305,0.541376989792363,0.522659342084305,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,11139110
0.21,0,0.5413118221576166741177781013,0.541311822157617,0.522594174449559,0.541311822157617,0.522594174449559,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,11696060
0.22,0,0.5412467615049424958036982136,0.541246761504943,0.522529113796885,0.541246761504943,0.522529113796885,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,12253020
0.23,0,0.5411818075667517711153015148,0.541181807566752,0.522464159858694,0.541181807566752,0.522464159858694,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,12809970
0.24,0,0.5411169600759545297240382516,0.541116960075954,0.522399312367897,0.541116960075954,0.522399312367897,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,13366930
0.25,0,0.5410522187659634451335905344,0.541052218765964,0.522334571057906,0.541052218765964,0.522334571057906,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,13923880
0.26,0,0.5411997799779048017944083741,0.541199779977905,0.522482132269847,0.541199779977905,0.522482132269847,0,0,0,0,22.407051862686049809569634944,126.4580465032775713412842414,123.35884280678393286093978398,14480840
