Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3741752235582737796123330660,0.374175223558274,0.366583246103952,0.374175223558274,0.366583246103952,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,182466.5
0.02,0,0.3184601454274898479418598002,0.31846014542749,0.310868167973168,0.31846014542749,0.310868167973168,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,364933.1
0.03,0,0.3024521498297691115388374858,0.302452149829769,0.294860172375448,0.302452149829769,0.294860172375448,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,547399.6
0.04,0,0.3311724005225339168759306355,0.331172400522534,0.323580423068212,0.331172400522534,0.323580423068212,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,729866.2
0.05,0,0.3475049356641161909223729214,0.347504935664116,0.339912958209795,0.347504935664116,0.339912958209795,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,912332.8
0.06,0,0.3573425276191068170987035533,0.357342527619107,0.349750550164785,0.357342527619107,0.349750550164785,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,1094799
0.07,0,0.3635432602261797462452184275,0.36354326022618,0.355951282771858,0.36354326022618,0.355951282771858,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,1277266
0.08,0,0.3675621186662241981398954176,0.367562118666224,0.359970141211903,0.367562118666224,0.359970141211903,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,1459732
0.09,0,0.3701985606883173739257136295,0.370198560688317,0.362606583233996,0.370198560688317,0.362606583233996,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,1642199
0.10,0,0.3719211000908061883676512149,0.371921100090806,0.364329122636485,0.371921100090806,0.364329122636485,0,0,0,0,12.561923046012901287675877377,93.02210923455923462426645985,90.13601042463143466283541297,1824666
