Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,118.952,0,0,114.578,126.458,1.941184,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.499931,0,1360.603,118.952,0,0,114.5436,126.458,1.946812,335.888707795453,335.336042748069,19.2603857324938,3.35888665368325,3.35336,0.1926039,87,87,0.0167668,0.0009630195
0.02,B,0.02,0.010,0,0.4999309,0,1361.891,118.8921,0.001125636,0,114.5091,126.458,1.952441,336.422294197147,335.868904570629,19.2883118856282,6.72310954826892,6.712049,0.385487,87,87,0.06709384,0.003853474
0.03,B,0.03,0.010,0,0.4999308,0,1363.176,118.8256,0.004509691,0,114.4747,126.458,1.95807,336.975641811871,336.421500757116,19.3172721379612,10.0928619653377,10.07626,0.5786597,87,87,0.1510354,0.008674207
0.04,B,0.04,0.010,0,0.4999304,0,1364.455,118.7589,0.01016328,0,114.4402,126.458,1.963699,337.527785689355,336.972894811926,19.3461695027679,13.4681408732574,13.44599,0.7721214,87,87,0.2686466,0.01542811
0.05,B,0.05,0.01151082,0,0.5143356,0,1365.731,118.6922,0.01861897,0,114.4058,126.458,1.969327,338.079111892084,337.523472279693,19.3750240773932,16.848927277819,16.82122,0.9658717,87,87,0.4199827,0.02411808
0.05999999,B,0.05999999,0.01440028,0,0.5312102,0,1367.007,118.6254,0.03009558,0,114.3713,126.458,1.974956,338.630441821867,338.074053453146,19.4038787419425,20.2352311319954,20.20196,1.15991,87,87,0.6050985,0.03474699
0.06999999,B,0.06999999,0.01729447,0,0.5404148,0,1368.278,118.5586,0.0441604,0,114.3369,126.458,1.980585,339.18057935872,338.623443824455,19.4326711129291,23.6270325098401,23.58819,1.354237,87,87,0.8240493,0.04731772
0.07999999,B,0.07999999,0.02019336,0,0.5455633,0,1369.542,118.4917,0.06077852,0,114.3024,126.458,1.986214,339.728881171441,339.171000942675,19.4613674119585,27.0243213322932,26.9799,1.548851,87,87,1.07689,0.06183316
0.08999999,B,0.08999999,0.02309694,0,0.5483835,0,1370.806,118.4247,0.07992399,0,114.268,126.458,1.991842,340.277353009676,339.718727839738,19.490072504277,30.4270975926899,30.37709,1.743752,87,87,1.363675,0.07829618
0.09999999,B,0.09999999,0.02600522,0,0.5497879,0,1372.07,118.3577,0.1015771,0,114.2335,126.458,1.997471,340.826003258921,340.266632877308,19.5187870470788,33.8353612980294,33.77976,1.93894,87,87,1.684459,0.09670964
0.11,B,0.11,0.0289182,0,0.5502951,0,1373.322,118.2906,0.1257224,0,114.1991,126.458,2.0031,341.371382420893,340.811271255228,19.5473302869476,37.249072391245,37.18787,2.134413,87,87,2.039297,0.1170764
0.12,B,0.12,0.03183585,0,0.5502167,0,1374.574,118.2235,0.1523475,0,114.1646,126.458,2.008729,341.916988338106,341.35613605268,19.5758855070459,40.6682409243755,40.60143,2.330172,87,87,2.428244,0.1393993
0.13,B,0.13,0.03475817,0,0.5497485,0,1375.826,118.1563,0.1814429,0,114.1302,126.458,2.014357,342.462747238594,341.901153610492,19.6044486283175,44.0928668839169,44.02044,2.526217,87,87,2.851353,0.1636813
0.14,B,0.14,0.03768516,0,0.5490177,0,1377.068,118.089,0.2130015,0,114.0957,126.458,2.019986,343.006048067777,342.443716414819,19.632883106693,47.5229302072629,47.44488,2.722546,87,87,3.30868,0.1899251
0.15,B,0.15,0.04061682,0,0.5481092,0,1378.309,118.0217,0.2470172,0,114.0613,126.458,2.025615,343.548917031433,342.985847913052,19.6612950955692,50.9584208836831,50.87474,2.919159,87,87,3.800278,0.2181336
0.16,B,0.16,0.04355313,0,0.5470814,0,1379.549,117.9543,0.2834857,0,114.0268,126.458,2.031244,344.09194344251,343.528136630223,19.6897152191209,54.399338940653,54.31002,3.116056,87,87,4.326201,0.2483097
0.17,B,0.17,0.04649409,0,0.5459746,0,1380.782,117.8868,0.3224036,0,113.9924,126.458,2.036872,344.63311933293,344.068577319989,19.7180384963764,57.8456743264659,57.75071,3.313236,87,87,4.886505,0.2804562
0.18,B,0.18,0.04943969,0,0.5448174,0,1382.01,117.8193,0.3637688,0,113.9579,126.458,2.042501,345.173176412848,344.607900698718,19.7463032225668,61.2974070741135,61.19679,3.510699,87,87,5.481243,0.3145758
0.19,B,0.19,0.05238993,0,0.5436304,0,1383.239,117.7517,0.40758,0,113.9235,126.458,2.04813,345.713414679409,345.147404997575,19.7745774351146,64.7545371837444,64.64826,3.708445,87,87,6.110468,0.3506715
0.2,B,0.2,0.0553448,0,0.5424283,0,1384.463,117.6841,0.4538366,0,113.889,126.458,2.053759,346.252467207318,345.685725148518,19.8027895938413,68.217064587241,68.10512,3.906473,87,87,6.774235,0.3887461
0.21,B,0.21,0.05830429,0,0.5412218,0,1385.678,117.6164,0.5025383,0,113.8546,126.458,2.059387,346.789564835973,346.222093036224,19.8308994435355,71.6849593066841,71.56734,4.104782,87,87,7.472597,0.4288024
0.22,B,0.22,0.0612684,0,0.5400187,0,1386.895,117.5486,0.5536861,0,113.8201,126.458,2.065016,347.326851748989,346.758649931281,19.85901920285,75.1582213012666,75.03492,4.303372,87,87,8.205608,0.4708432
0.23,B,0.23,0.0642371,0,0.5388245,0,1388.111,117.4808,0.6072804,0,113.7857,126.458,2.070645,347.864353686263,347.295421538648,19.8871502195272,78.6368606502918,78.50787,4.502244,87,87,8.973322,0.5148712
0.24,B,0.24,0.06721044,0,0.5376434,0,1389.315,117.4129,0.6633236,0,113.7513,126.458,2.076273,348.398458631448,347.828800750058,19.9151034530361,82.1208472120128,81.98616,4.701395,87,87,9.775792,0.5608894
0.25,B,0.25,0.07018835,0,0.5364784,0,1390.519,117.345,0.7218175,0,113.7168,126.458,2.081902,348.932842639704,348.362458625964,19.9430712955165,85.610181041183,85.46979,4.900826,87,87,10.61307,0.6089005
0.26,B,0.26,0.07317087,0,0.5353313,0,1391.723,117.277,0.7827637,0,113.6824,126.458,2.087531,349.467347703161,348.8962373733,19.9710454767959,89.1048520997569,88.95875,5.100536,87,87,11.48521,0.6589074
0.27,B,0.27,0.07615796,0,0.5342037,0,1392.917,117.2089,0.8461653,0,113.6479,126.458,2.09316,349.99922834778,349.42739525521,19.9988821987809,92.6048404479687,92.45302,5.300525,87,87,12.39227,0.7109126
0.28,B,0.28,0.07914963,0,0.5330964,0,1394.108,117.1408,0.9120249,0,113.6135,126.458,2.098788,350.530638115056,349.958082874421,20.0266943904387,96.1101459767855,95.9526,5.500792,87,87,13.3343,0.7649192
0.29,B,0.29,0.08214587,0,0.5320099,0,1395.3,117.0726,0.9803459,0,113.579,126.458,2.104417,351.062257774369,350.488980081591,20.0545175709526,99.6207687136512,99.45749,5.701337,87,87,14.31135,0.8209299
0.3,B,0.3,0.08514668,0,0.5309445,0,1396.484,117.0044,1.051132,0,113.5446,126.458,2.110046,351.59194973561,351.017952197989,20.0822397560101,103.136718615039,102.9677,5.902159,87,87,15.32348,0.8789474
0.31,B,0.31,0.08815207,0,0.5299003,0,1397.664,116.9361,1.124387,0,113.5101,126.458,2.115675,352.12047015391,351.545754338805,20.1099007399607,106.657965675693,106.4832,6.103258,87,87,16.37073,0.9389744
0.32,B,0.32,0.09116203,0,0.528877,0,1398.844,116.8678,1.200114,0,113.4757,126.458,2.121304,352.649096022003,352.073661767707,20.1375672466671,110.184420070499,110.0039,6.304634,87,87,17.45317,1.001014
0.33,B,0.33,0.09417646,0,0.5278746,0,1400.019,116.7993,1.278315,0,113.4412,126.458,2.126932,353.176501661907,352.600350614881,20.16516978372,113.716181581167,113.5299,6.506286,87,87,18.57084,1.065068
0.3399999,B,0.3399999,0.09719545,0,0.5268927,0,1401.186,116.7309,1.358997,0,113.4068,126.458,2.132561,353.701981347122,353.125116100558,20.1926716371981,117.253150289807,117.0611,6.708213,87,87,19.72379,1.131141
0.3499999,B,0.3499999,0.1002189,0,0.5259308,0,1402.353,116.6624,1.442163,0,113.3723,126.458,2.13819,354.227640419239,353.65006071769,20.2201827725539,120.795426087321,120.5976,6.910415,87,87,20.91208,1.199234
0.3599999,B,0.3599999,0.103247,0,0.5249885,0,1403.518,116.5938,1.527819,0,113.3379,126.458,2.143818,354.752768177335,354.174474725133,20.2476661039779,124.34300891932,124.1394,7.112892,87,87,22.13577,1.269351
0.3699999,B,0.3699999,0.1062796,0,0.5240654,0,1404.673,116.5251,1.615969,0,113.3034,126.458,2.149447,355.280332277838,354.586784023248,22.1884451798996,127.895764386677,127.685267760976,7.33477644683949,86.7123,86.7123,23.41262,1.341589
0.3799999,B,0.3799999,0.1093167,0,0.523161,0,1405.828,116.4564,1.706615,0,113.269,126.458,2.155076,355.802769237522,355.104871580859,22.2742177557646,131.453744059158,131.236316397412,7.55751861941846,86.70414,86.70414,24.72498,1.41605
0.3899999,B,0.3899999,0.1123583,0,0.5222748,0,1406.983,116.3877,1.799764,0,113.2345,126.458,2.160705,356.325347267602,355.623169741552,22.3587622275672,135.016949374501,134.79254801534,7.78110623669656,86.69618,86.69618,26.07291,1.492744
0.3999999,B,0.3999999,0.1154044,0,0.5214063,0,1408.127,116.3189,1.895421,0,113.2001,126.458,2.166333,356.845160843594,356.138773772242,22.4419837245788,138.585352658789,138.353935673459,8.00552606892618,86.68841,86.68841,27.45645,1.571677
0.4099999,B,0.4099999,0.118455,0,0.5207124,0,1409.269,116.25,1.994193,0,113.1656,126.458,2.171962,357.364306506326,356.653773809185,22.5240580805056,142.158947184329,141.920473331832,8.23076664469672,86.68081,86.68081,28.87565,1.652858
0.4199999,B,0.4199999,0.12151,0,0.5206923,0,1410.411,116.1811,2.098192,0,113.1312,126.458,2.177591,357.88277082062,357.168153957808,22.6050314889483,145.737726255564,145.492154791577,8.45681695453358,86.67339,86.67339,30.33057,1.736296
0.4299999,B,0.4299999,0.1245695,0,0.5206721,0,1411.546,116.1121,2.204981,0,113.0967,126.458,2.18322,358.39900476557,357.680364497312,22.6848731541729,149.321667510581,149.068958356602,8.68366568100484,86.66613,86.66613,31.82126,1.821998
