Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,124.567,0,0,116.116,126.458,1.689877,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5029325,0,1319.174,124.567,0,0,116.0889,126.458,1.694312,308.599771574234,308.084132342959,17.832173567894,3.08599739103814,3.080841,0.1783217,87,87,0.0154042,0.0008916085
0.02,B,0.02,0.010,0,0.5029324,0,1320.414,124.5076,0.0009558682,0,116.0617,126.458,1.698747,309.082284163724,308.565990827216,17.8574267094611,6.17682032660103,6.166501,0.356896,87,87,0.06164091,0.003567697
0.03,B,0.03,0.010,0,0.5029323,0,1321.651,124.4416,0.003829446,0,116.0346,126.458,1.703182,309.582486305203,309.065514861246,17.8836056337604,9.27264504233278,9.257156,0.5357321,87,87,0.1387592,0.008030837
0.04,B,0.04,0.010,0,0.502932,0,1322.889,124.3756,0.008630029,0,116.0074,126.458,1.707617,310.08298441084,309.565334434048,17.9098000510672,12.3734755412023,12.35281,0.7148301,87,87,0.246809,0.01428365
0.05,B,0.05,0.01057524,0,0.5090455,0,1324.123,124.3094,0.01555371,0,115.9803,126.458,1.712052,310.582579126482,310.06425181161,17.9359472948569,15.479298819275,15.45345,0.8941896,87,87,0.3858403,0.02232875
0.05999999,B,0.05999999,0.0132297,0,0.5286193,0,1325.34,124.2432,0.02527772,0,115.9531,126.458,1.716487,311.077926586941,310.558927674715,17.9618721507828,18.5900787853459,18.55904,1.073808,87,87,0.5559028,0.03216873
0.06999999,B,0.06999999,0.0158884,0,0.5396118,0,1326.558,124.177,0.03721637,0,115.926,126.458,1.720922,311.573461376681,311.053790589765,17.9878068141837,21.7058154843516,21.66958,1.253686,87,87,0.7570459,0.0438062
0.07999999,B,0.07999999,0.01855134,0,0.5460197,0,1327.776,124.1107,0.05133907,0,115.8989,126.458,1.725356,312.069160812997,311.548817904895,18.0137500979329,24.8265088820401,24.78507,1.433823,87,87,0.9893191,0.05724374
0.08999999,B,0.08999999,0.02121853,0,0.5497684,0,1328.994,124.0443,0.06762316,0,115.8717,126.458,1.729791,312.56500011264,312.043984870546,18.0397007049681,27.9521590336642,27.90551,1.61422,87,87,1.252772,0.07248396
0.09999999,B,0.09999999,0.02388995,0,0.5518817,0,1330.198,123.9779,0.08605132,0,115.8446,126.458,1.734226,313.057436741816,312.53575375676,18.0654732307207,31.0827358724254,31.03087,1.794875,87,87,1.547454,0.08952943
0.11,B,0.11,0.02656559,0,0.552945,0,1331.393,123.9114,0.1066099,0,115.8174,126.458,1.738661,313.547654524813,313.025306789067,18.0911295286299,34.2182193148455,34.16113,1.975786,87,87,1.873414,0.1083827
0.12,B,0.12,0.02924544,0,0.5533126,0,1332.589,123.8448,0.129288,0,115.7903,126.458,1.743096,314.038038965059,313.51502622427,18.1167946562077,37.3585994466132,37.29628,2.156954,87,87,2.230701,0.1290464
0.13,B,0.13,0.03192948,0,0.5532085,0,1333.784,123.7782,0.154077,0,115.7632,126.458,1.747531,314.528637369659,314.00495931141,18.1424709853506,40.5038862305593,40.43633,2.338379,87,87,2.619364,0.1515231
0.14,B,0.14,0.03461772,0,0.5527794,0,1334.98,123.7115,0.1809706,0,115.736,126.458,1.751966,315.019452480354,314.495108788584,18.1681586595636,43.6540796943788,43.58128,2.520061,87,87,3.039452,0.1758153
0.15,B,0.15,0.03731017,0,0.5521242,0,1336.152,123.6448,0.2099634,0,115.7089,126.458,1.756401,315.504400271404,314.979398887565,18.1935391567157,46.8091296738801,46.73108,2.701996,87,87,3.491014,0.2019256
0.16,B,0.16,0.04000677,0,0.5513113,0,1337.325,123.578,0.2410511,0,115.6817,126.458,1.760835,315.98958242776,315.463923006497,18.2189320274502,49.9690262409588,49.88572,2.884185,87,87,3.974098,0.2298565
0.17,B,0.17,0.04270753,0,0.5503885,0,1338.498,123.5111,0.2742306,0,115.6546,126.458,1.76527,316.474949495279,315.948631764404,18.2443345792743,53.133769395774,53.0452,3.066628,87,87,4.488752,0.2596106
0.18,B,0.18,0.04541245,0,0.5493903,0,1339.671,123.4442,0.3094998,0,115.6274,126.458,1.769705,316.960483316402,316.433507034458,18.2697457574296,56.3033691906141,56.20953,3.249326,87,87,5.035026,0.2911903
0.19,B,0.19,0.04812154,0,0.5483415,0,1340.831,123.3772,0.3468571,0,115.6003,126.458,1.77414,317.442605864516,316.914975631384,18.2949785081476,59.4777954967629,59.37868,3.432276,87,87,5.612967,0.3245983
0.2,B,0.2,0.05083476,0,0.5472604,0,1341.981,123.3102,0.386302,0,115.5732,126.458,1.778575,317.922473140548,317.394192000608,18.3200931243095,62.6570183093433,62.55262,3.615477,87,87,6.222623,0.3598371
0.21,B,0.21,0.05355209,0,0.5461604,0,1343.131,123.2431,0.4278336,0,115.546,126.458,1.78301,318.402553918489,317.87362155557,18.3452190219315,65.8410376147554,65.73135,3.798929,87,87,6.864043,0.3969091
0.22,B,0.22,0.05627354,0,0.5450515,0,1344.282,123.1759,0.4714521,0,115.5189,126.458,1.787445,318.882799437488,318.353215613671,18.3703534403974,69.0298733935996,68.91489,3.982632,87,87,7.537274,0.4358169
0.23,B,0.23,0.05899913,0,0.543941,0,1345.433,123.1087,0.5171587,0,115.4917,126.458,1.79188,319.363230184271,318.832994627878,18.3954975565024,72.2235057343726,72.10322,4.166587,87,87,8.242365,0.476563
0.24,B,0.24,0.06172883,0,0.5428346,0,1346.56,123.0414,0.5649542,0,115.4646,126.458,1.796315,319.837610724685,319.30673161721,18.420325133122,75.4218845004242,75.29629,4.35079,87,87,8.979362,0.5191499
0.25,B,0.25,0.06446261,0,0.5417365,0,1347.687,122.9741,0.6148393,0,115.4375,126.458,1.800749,320.312139384067,319.780616510936,18.4451603593951,78.6249997498159,78.49409,4.535242,87,87,9.748314,0.56358
0.26,B,0.26,0.06720045,0,0.5406496,0,1348.814,122.9067,0.6668155,0,115.4103,126.458,1.805184,320.786848532888,320.254681629567,18.4700050353763,81.8328614110321,81.69663,4.719942,87,87,10.54927,0.6098559
0.27,B,0.27,0.06994238,0,0.5395761,0,1349.942,122.8393,0.7208855,0,115.3832,126.458,1.809619,321.261706582909,320.728895427786,18.4948575078531,85.0454795225859,84.90392,4.904891,87,87,11.38227,0.6579801
0.28,B,0.28,0.07268839,0,0.5385178,0,1351.06,122.7718,0.7770509,0,115.356,126.458,1.814054,321.73430290142,321.20085053761,18.5195917173726,88.262824024561,88.11593,5.090087,87,87,12.24737,0.707955
0.29,B,0.29,0.07543846,0,0.5374757,0,1352.163,122.7042,0.8353146,0,115.3289,126.458,1.818489,322.203204910884,321.669116337799,18.5441324764696,91.4848548736833,91.33262,5.275528,87,87,13.14461,0.7597831
0.3,B,0.3,0.07819256,0,0.5364506,0,1353.267,122.6366,0.8956777,0,115.3018,126.458,1.822924,322.672314238929,322.13758915639,18.5686840894912,94.7115721250911,94.55399,5.461215,87,87,14.07405,0.8134668
0.31,B,0.31,0.08095068,0,0.5354431,0,1354.371,122.5689,0.9581441,0,115.2746,126.458,1.827359,323.141608668426,322.60624680649,18.5932453931084,97.9429857622837,97.78005,5.647148,87,87,15.03572,0.8690086
0.32,B,0.32,0.08371286,0,0.5344534,0,1355.475,122.5012,1.022716,0,115.2475,126.458,1.831794,323.611014511924,323.075015700664,18.6178125313447,101.17909570293,101.0108,5.833326,87,87,16.02967,0.926411
0.33,B,0.33,0.08647906,0,0.5334815,0,1356.56,122.4334,1.089398,0,115.2203,126.458,1.836228,324.07550529302,323.538876183463,18.642122434634,104.419861931244,104.2462,6.019747,87,87,17.05595,0.9856763
0.3399999,B,0.3399999,0.08924928,0,0.5325275,0,1357.64,122.3656,1.158191,0,115.1932,126.458,1.840663,324.53886009706,324.001602212574,18.66637288773,107.665234475544,107.4862,6.20641,87,87,18.11462,1.046807
0.3499999,B,0.3499999,0.09202346,0,0.5315912,0,1358.72,122.2977,1.229099,0,115.166,126.458,1.845098,325.002393676188,324.464506756149,18.6906327003866,110.915213363439,110.7308,6.393316,87,87,19.2057,1.109806
0.3599999,B,0.3599999,0.0948016,0,0.5306725,0,1359.801,122.2298,1.302124,0,115.1389,126.458,1.849533,325.4660213483,324.927505253137,18.7148973351329,114.16989845629,113.9801,6.580465,87,87,20.32926,1.174675
