Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,124.672,0,0,116.15,126.458,1.684321,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5018868,0,1287.674,124.672,0,0,116.1225,126.458,1.688818,300.183907575383,299.679673369823,17.3917145843131,3.00183933894262,2.996797,0.1739171,87,87,0.01498398,0.0008695855
0.02,B,0.02,0.010,0,0.5018868,0,1288.891,124.6136,0.0009025638,0,116.095,126.458,1.693315,300.653451846893,300.148581516699,17.416288955047,6.00837404302603,5.998283,0.34808,87,87,0.05995939,0.003479571
0.03,B,0.03,0.010,0,0.5018866,0,1290.106,124.5487,0.003615898,0,116.0674,126.458,1.697812,301.140084966952,300.634555332441,17.4417577660264,9.01977434055267,9.004628,0.5224976,87,87,0.1349739,0.007832458
0.04,B,0.04,0.010,0,0.5018864,0,1291.322,124.4837,0.008148776,0,116.0399,126.458,1.702309,301.626982943304,301.120793620806,17.4672404419262,12.0360482277698,12.01584,0.69717,87,87,0.2400763,0.0139308
0.05,B,0.05,0.01028685,0,0.5050436,0,1292.533,124.4187,0.01460129,0,116.0124,126.458,1.706806,302.113142477663,301.606294443011,17.4926844733656,15.0571767143217,15.0319,0.8720969,87,87,0.375315,0.02177713
0.05999999,B,0.05999999,0.01286892,0,0.5255482,0,1293.73,124.3536,0.02377891,0,115.9849,126.458,1.711303,302.595375002853,302.087873552593,17.5179229816236,18.0831317196599,18.05278,1.047276,87,87,0.5407383,0.031374
0.06999999,B,0.06999999,0.01545513,0,0.5371594,0,1294.927,124.2884,0.03505426,0,115.9574,126.458,1.7158,303.077798399036,302.5696432505,17.5431714827117,21.1139132784868,21.07848,1.222708,87,87,0.7363946,0.04272392
0.07999999,B,0.07999999,0.01804546,0,0.5440041,0,1296.124,124.2232,0.04839798,0,115.9298,126.458,1.720297,303.560370919864,303.051561853059,17.5684276879664,24.1495213426587,24.109,1.398392,87,87,0.962332,0.05582942
0.08999999,B,0.08999999,0.02063992,0,0.5480754,0,1297.321,124.1579,0.06378846,0,115.9023,126.458,1.724794,304.043199864751,303.533736502332,17.5936974206619,27.1899559744841,27.14434,1.574329,87,87,1.218599,0.07069302
0.09999999,B,0.09999999,0.02323852,0,0.5504352,0,1298.501,124.0925,0.08120905,0,115.8748,126.458,1.729291,304.521714444912,304.011602609951,17.6187413567916,30.2351770617846,30.18446,1.750516,87,87,1.505243,0.08731725
0.11,B,0.11,0.0258412,0,0.5516921,0,1299.678,124.0271,0.1006466,0,115.8473,126.458,1.733788,304.999313010002,304.488553926728,17.6437372510243,33.2851646313843,33.22934,1.926953,87,87,1.822312,0.1057046
0.12,B,0.12,0.02844798,0,0.5522152,0,1300.854,123.9616,0.1220909,0,115.8197,126.458,1.738285,305.47709155363,304.965684949102,17.6687426714509,36.3399386706152,36.279,2.10364,87,87,2.169853,0.1258576
0.13,B,0.13,0.03105885,0,0.552238,0,1302.03,123.8961,0.1455337,0,115.7922,126.458,1.742782,305.955086837982,305.443032395504,17.6937594387422,39.3994892240225,39.33343,2.280578,87,87,2.547915,0.1477787
0.14,B,0.14,0.03367381,0,0.5519143,0,1303.203,123.8305,0.1709687,0,115.7647,126.458,1.747279,306.432077383157,305.91937644772,17.7187235204873,42.4638062326366,42.39262,2.457765,87,87,2.956546,0.1714704
0.15,B,0.15,0.03629286,0,0.5513477,0,1304.358,123.7649,0.1983909,0,115.7372,126.458,1.751776,306.904833042907,306.391491325938,17.7434660695821,45.5328596503256,45.45654,2.6352,87,87,3.395792,0.1969352
0.16,B,0.16,0.03891596,0,0.5506099,0,1305.513,123.6992,0.2277962,0,115.7097,126.458,1.756273,307.37773478112,306.863752068525,17.7682161625594,48.6066394526273,48.52518,2.812882,87,87,3.8657,0.2241756
0.17,B,0.17,0.04154312,0,0.5497515,0,1306.668,123.6334,0.2591815,0,115.6821,126.458,1.760769,307.850824312488,307.336200327644,17.7929760873411,51.6851457086955,51.59854,2.990812,87,87,4.366319,0.2531941
0.18,B,0.18,0.04417432,0,0.548809,0,1307.824,123.5676,0.2925448,0,115.6546,126.458,1.765266,308.324090527836,307.808825003213,17.8177453668781,54.7683883191608,54.67663,3.168989,87,87,4.897695,0.2839931
0.19,B,0.19,0.04680959,0,0.5478086,0,1308.962,123.5017,0.327885,0,115.6271,126.458,1.769763,308.793012551423,308.277111360224,17.8422871846418,57.8563173403734,57.7594,3.347412,87,87,5.459875,0.3165751
0.2,B,0.2,0.04944888,0,0.5467699,0,1310.096,123.4357,0.3652005,0,115.5996,126.458,1.77426,309.261039972699,308.744504306297,17.8667821852214,60.9489226926794,60.84684,3.52608,87,87,6.052906,0.3509426
0.21,B,0.21,0.05209218,0,0.5457073,0,1311.23,123.3697,0.4044913,0,115.5721,126.458,1.778757,309.729233178839,309.212062791281,17.8912858652685,64.0462144008726,63.93896,3.704993,87,87,6.676835,0.3870979
0.22,B,0.22,0.05473949,0,0.5446314,0,1312.365,123.3037,0.4457576,0,115.5445,126.458,1.783254,310.197569910226,309.679764579725,17.915797164945,67.1481924375319,67.03576,3.884151,87,87,7.331708,0.4250436
0.23,B,0.23,0.05739084,0,0.5435504,0,1313.495,123.2376,0.4890001,0,115.517,126.458,1.787751,310.664939269769,310.146500292896,17.9402577338719,70.2548367811464,70.13722,4.063553,87,87,8.017573,0.4647821
0.24,B,0.24,0.06004618,0,0.5424702,0,1314.607,123.1714,0.5342196,0,115.4895,126.458,1.792248,311.12780961418,310.608743069989,17.9644828425181,73.3661173855727,73.24331,4.243197,87,87,8.734476,0.5063159
0.25,B,0.25,0.06270552,0,0.5413955,0,1315.719,123.1052,0.5814171,0,115.462,126.458,1.796745,311.590842361424,311.071148009343,17.9887164536959,76.482024295286,76.35402,4.423084,87,87,9.482463,0.5496473
0.26,B,0.26,0.06536881,0,0.5403297,0,1316.831,123.0389,0.6305938,0,115.4344,126.458,1.801242,312.054027704674,311.533705317463,18.0129580547249,79.6025574828606,79.46935,4.603213,87,87,10.26158,0.5947788
