Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,124.528,0,0,116.57,126.458,1.615694,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.5033426,0,1135.653,124.528,0,0,116.5421,126.458,1.620246,261.291354473096,260.839719140346,15.3561987864958,2.61291335404436,2.608397,0.153562,87,87,0.01304198,0.00076781
0.02,B,0.02,0.010,0,0.5033426,0,1137.193,124.4775,0.0006858212,0,116.5143,126.458,1.624798,261.808395611451,261.356062393793,15.3832591687851,5.23099668765343,5.221957,0.3073946,87,87,0.05219375,0.003072593
0.03,B,0.03,0.010,0,0.5033424,0,1138.732,124.4213,0.002748712,0,116.4864,126.458,1.62935,262.338383606287,261.885334984497,15.4109971519466,7.85438117494235,7.840811,0.4615046,87,87,0.1175076,0.006917089
0.04,B,0.04,0.010,0,0.5033422,0,1140.27,124.3651,0.006197024,0,116.4586,126.458,1.633903,262.868737012139,262.414972448537,15.4387542629175,10.4830678223962,10.46496,0.6158922,87,87,0.2090364,0.01230407
0.05,B,0.05,0.010,0,0.5033419,0,1141.807,124.3087,0.01103912,0,116.4307,126.458,1.638455,263.398841487741,262.944361274186,15.4664983494801,13.1170526337518,13.0944,0.7705572,87,87,0.3268332,0.01923632
0.05999999,B,0.05999999,0.01121076,0,0.515285,0,1143.335,124.2523,0.01769347,0,116.4028,126.458,1.643007,263.926927515834,263.471734333641,15.4941367998333,15.7563245600565,15.72912,0.9254986,87,87,0.4709508,0.0277166
0.06999999,B,0.06999999,0.01346647,0,0.5302753,0,1144.863,124.1959,0.02627257,0,116.375,126.458,1.647559,264.455159469174,263.999253078059,15.52178289028,18.4008736014032,18.36911,1.080716,87,87,0.641442,0.03774767
0.07999999,B,0.07999999,0.01572669,0,0.5395111,0,1146.391,124.1393,0.03645577,0,116.3471,126.458,1.652111,264.983671510354,264.527051489065,15.5494436430702,21.050709772364,21.01438,1.23621,87,87,0.8383595,0.0493323
0.08999999,B,0.08999999,0.01799145,0,0.5453503,0,1147.919,124.0827,0.04822757,0,116.3193,126.458,1.656664,265.51248741379,265.055153309121,15.577120303065,23.7058331012652,23.66493,1.391981,87,87,1.061756,0.06247325
0.09999999,B,0.09999999,0.02026072,0,0.549062,0,1149.44,124.0259,0.06157654,0,116.2914,126.458,1.661216,266.039566583186,265.581520697895,15.6047060710197,26.3662335426827,26.32075,1.548028,87,87,1.311684,0.0771733
0.11,B,0.11,0.02253451,0,0.5513807,0,1150.955,123.9691,0.07649409,0,116.2635,126.458,1.665768,266.565590317693,266.106834041188,15.6322365001164,29.0318910754483,28.98182,1.70435,87,87,1.588197,0.09343519
0.12,B,0.12,0.0248128,0,0.5527558,0,1152.471,123.9123,0.09297373,0,116.2357,126.458,1.67032,267.09190548126,266.632438372159,15.6597822886246,31.7028057558618,31.64814,1.860948,87,87,1.891347,0.1112617
0.13,B,0.13,0.02709558,0,0.5534744,0,1153.986,123.8553,0.1110108,0,116.2078,126.458,1.674872,267.618484929245,267.158306589081,15.687341912487,34.3789875180057,34.31972,2.017821,87,87,2.221186,0.1306555
